所有倍率 = 相对事件开始价的锚定价格倍率

EVENT|全球干旱|unlock=0|goods=wheat,coffee,tea,coal
A2|局部降雨缓解旱情，农作物预期回落，木材煤炭获得喘息。|mults={"wheat":0.7,"coffee":0.75,"tea":0.8,"coal":1.3}
B2-1|降雨持续，旱情基本解除，农产品大跌，煤炭走强。|mults={"wheat":0.5,"coffee":0.55,"tea":0.6,"coal":1.1}
C2-1-1|旱情完全解除，农产品崩盘，煤炭大涨。|super=true|mults={"wheat":0.1,"coffee":0.15,"tea":0.18,"coal":4}
C2-1-2|恢复不及预期，农产品低位震荡，煤炭维持强势。|super=false|mults={"wheat":0.3,"coffee":0.35,"tea":0.4,"coal":2.5}
C2-1-3|天气反复，农产品重新抬头，煤炭回落。|super=false|mults={"wheat":3.5,"coffee":3.5,"tea":3.2,"coal":0.7}
B2-2|降雨短暂，旱情可能卷土重来，市场情绪反复。|mults={"wheat":1.5,"coffee":1.4,"tea":1.3,"coal":1.2}
C2-2-1|干旱卷土重来，农产品暴涨，煤炭承压。|super=true|mults={"wheat":8,"coffee":7,"tea":6,"coal":0.2}
C2-2-2|市场情绪反复，农产品偏强，煤炭平稳。|super=false|mults={"wheat":4,"coffee":3.8,"tea":3.5,"coal":1}
C2-2-3|最终缓和，农产品回落，煤炭走强。|super=false|mults={"wheat":2.5,"coffee":2.8,"tea":2.8,"coal":1.4}
B2-3|降雨转为洪涝，农产品与木材受灾，煤炭需求下滑。|mults={"wheat":2,"coffee":1.8,"tea":1.7,"coal":0.6}
C2-3-1|农产品再受重创，粮价暴涨，煤炭低迷。|super=false|mults={"wheat":6,"coffee":5.5,"tea":5,"coal":0.3}
C2-3-2|灾后重建需求拉动木材煤炭，农产品高位。|super=false|mults={"wheat":4.5,"coffee":4,"tea":4,"coal":2}
C2-3-3|市场混乱，各品种剧烈分化。|super=false|mults={"wheat":3,"coffee":3,"tea":2.8,"coal":0.9}
A3|政府宣布关注旱情，市场预期政策干预，农产品承压，煤炭走强。|mults={"wheat":1.2,"coffee":0.8,"tea":1.1,"coal":1.3}
B3-1|国家开始抛储，农产品价格被打压，煤炭受益。|mults={"wheat":0.5,"coffee":0.6,"tea":0.65,"coal":1.4}
C3-1-1|价格被打压，农产品崩盘，煤炭大涨。|super=true|mults={"wheat":0.1,"coffee":0.18,"tea":0.2,"coal":4.5}
C3-1-2|抛储力度不够，农产品反弹，煤炭回落。|super=false|mults={"wheat":4,"coffee":3.8,"tea":3.5,"coal":0.9}
C3-1-3|抛储引发恐慌抢购，农产品暴涨，煤炭小涨。|super=false|mults={"wheat":5,"coffee":4.5,"tea":4.2,"coal":1.2}
B3-2|政府补贴农民，供给预期恢复，农产品走弱，煤炭平稳。|mults={"wheat":0.9,"coffee":0.95,"tea":0.95,"coal":1.2}
C3-2-1|供给恢复，农产品回落，煤炭走强。|super=false|mults={"wheat":0.35,"coffee":0.4,"tea":0.42,"coal":3}
C3-2-2|补贴不及预期，农产品偏强，煤炭回落。|super=false|mults={"wheat":3.5,"coffee":3.5,"tea":3.2,"coal":0.8}
C3-2-3|补贴刺激种植，农产品平稳，煤炭小涨。|super=false|mults={"wheat":2.8,"coffee":3,"tea":3,"coal":1.5}
B3-3|政府考虑实施出口禁令，农产品预期走强，煤炭受拖累。|mults={"wheat":2.2,"coffee":2,"tea":1.9,"coal":1.5}
C3-3-1|出口禁令落地，国内短缺，农产品暴涨，煤炭大跌。|super=true|mults={"wheat":9,"coffee":8,"tea":7,"coal":0.2}
C3-3-2|国际抗议升级，农产品高位，煤炭修复。|super=false|mults={"wheat":5,"coffee":4.5,"tea":4.2,"coal":1}
C3-3-3|禁令取消，农产品回落，煤炭走强。|super=false|mults={"wheat":2.2,"coffee":2.5,"tea":2.5,"coal":2.8}
EVENT|能源危机|unlock=0|goods=oil,coal,chip,phone
A1|能源供给中断加剧，油价煤价飙升，制造业承压。|mults={"oil":1.6,"coal":1.5,"chip":0.8,"phone":0.7}
B1-1|主要产油国停产，能源价格失控。|mults={"oil":2.2,"coal":2,"chip":0.6,"phone":0.5}
C1-1-1|全球能源危机爆发，石油暴涨，电子产品崩盘。|super=true|mults={"oil":4,"coal":3.5,"chip":0.3,"phone":0.2}
C1-1-2|各国紧急增产，能源回落，制造业修复。|super=false|mults={"oil":1.5,"coal":1.6,"chip":1.1,"phone":1}
C1-1-3|能源高位震荡，铜受益，手机低迷。|super=false|mults={"oil":2,"coal":1.9,"chip":0.8,"phone":0.7}
B1-2|运输受阻，供应链进一步恶化。|mults={"oil":2,"coal":1.8,"chip":0.5,"phone":0.4}
C1-2-1|供应链断裂，能源与铜暴涨，科技崩盘。|super=true|mults={"oil":3.5,"coal":3,"chip":0.2,"phone":0.15}
C1-2-2|临时通道恢复，价格回落。|super=false|mults={"oil":1.4,"coal":1.4,"chip":1,"phone":0.9}
C1-2-3|运费高企，商品分化。|super=false|mults={"oil":2.4,"coal":2.1,"chip":0.7,"phone":0.6}
B1-3|各国释放战略储备，能源价格承压。|mults={"oil":0.8,"coal":0.85,"chip":1.1,"phone":1.1}
C1-3-1|储备释放成功，能源大跌，制造业反弹。|super=false|mults={"oil":0.5,"coal":0.55,"chip":1.5,"phone":1.4}
C1-3-2|储备不足，能源再度上涨。|super=false|mults={"oil":1.8,"coal":1.7,"chip":0.8,"phone":0.7}
C1-3-3|市场情绪反复，震荡收场。|super=false|mults={"oil":1.2,"coal":1.2,"chip":1,"phone":1}
A2|各国释放储备，能源价格短期回落。|mults={"oil":0.8,"coal":0.85,"chip":1.1,"phone":1.1}
B2-1|储备释放超预期，能源继续下行。|mults={"oil":0.6,"coal":0.65,"chip":1.3,"phone":1.3}
C2-1-1|能源价格崩盘，制造业狂欢。|super=true|mults={"oil":0.3,"coal":0.35,"chip":1.8,"phone":1.7}
C2-1-2|回落趋缓，市场企稳。|super=false|mults={"oil":0.7,"coal":0.75,"chip":1.2,"phone":1.2}
C2-1-3|政策反复，能源反弹。|super=false|mults={"oil":1.4,"coal":1.3,"chip":0.9,"phone":0.9}
B2-2|释放力度不足，市场失望。|mults={"oil":1.2,"coal":1.2,"chip":0.9,"phone":0.9}
C2-2-1|能源重新暴涨，制造业再受挫。|super=false|mults={"oil":2.8,"coal":2.5,"chip":0.5,"phone":0.4}
C2-2-2|再度释放储备，价格回落。|super=false|mults={"oil":1,"coal":1,"chip":1.1,"phone":1.1}
C2-2-3|高位拉锯，铜价受益。|super=false|mults={"oil":1.6,"coal":1.5,"chip":0.8,"phone":0.7}
B2-3|地缘局势缓和，能源价格平稳。|mults={"oil":0.9,"coal":0.95,"chip":1,"phone":1}
C2-3-1|和平协议达成，市场全面回暖。|super=false|mults={"oil":0.6,"coal":0.7,"chip":1.4,"phone":1.4}
C2-3-2|局势反复，能源小幅反弹。|super=false|mults={"oil":1.3,"coal":1.2,"chip":0.9,"phone":0.9}
C2-3-3|恢复缓慢，商品分化。|super=false|mults={"oil":1.1,"coal":1.1,"chip":1,"phone":1}
A3|地缘冲突升级，能源恐慌性上涨。|mults={"oil":1.8,"coal":1.6,"chip":0.7,"phone":0.6}
B3-1|冲突扩大，能源供给告急。|mults={"oil":2.5,"coal":2.2,"chip":0.5,"phone":0.4}
C3-1-1|全面战争风险，能源暴涨，科技崩盘。|super=true|mults={"oil":5,"coal":4.5,"chip":0.2,"phone":0.15}
C3-1-2|国际调停，能源回落。|super=false|mults={"oil":1.5,"coal":1.5,"chip":1,"phone":0.9}
C3-1-3|长期对峙，能源高位，铜价坚挺。|super=false|mults={"oil":2.2,"coal":2,"chip":0.6,"phone":0.5}
B3-2|能源设施遭袭，价格剧烈波动。|mults={"oil":2.3,"coal":2,"chip":0.6,"phone":0.5}
C3-2-1|设施损毁严重，能源失控。|super=true|mults={"oil":4.5,"coal":4,"chip":0.3,"phone":0.2}
C3-2-2|快速修复，价格回归。|super=false|mults={"oil":1.3,"coal":1.3,"chip":1,"phone":1}
C3-2-3|修复缓慢，高位震荡。|super=false|mults={"oil":2,"coal":1.8,"chip":0.7,"phone":0.6}
B3-3|冲突引发避险，黄金同涨。|mults={"oil":1.6,"coal":1.4,"chip":0.7,"phone":0.6}
C3-3-1|避险情绪退潮，能源回落。|super=false|mults={"oil":1,"coal":1,"chip":1,"phone":1}
C3-3-2|避险持续，能源高位。|super=false|mults={"oil":2,"coal":1.7,"chip":0.6,"phone":0.5}
C3-3-3|局势缓和，市场回暖。|super=false|mults={"oil":0.8,"coal":0.85,"chip":1.3,"phone":1.3}
EVENT|科技热潮|unlock=0|goods=chip,phone,copper,gold
A1|芯片需求爆发，科技股狂欢。|mults={"chip":1.7,"phone":1.5,"copper":1.4,"gold":0.9}
B1-1|AI 算力需求井喷。|mults={"chip":2.2,"phone":1.8,"copper":1.7,"gold":0.8}
C1-1-1|科技超级周期，芯片暴涨。|super=true|mults={"chip":5,"phone":3.5,"copper":3,"gold":0.6}
C1-1-2|产能跟上，价格回落。|super=false|mults={"chip":1.5,"phone":1.4,"copper":1.4,"gold":1}
C1-1-3|需求持续，高位运行。|super=false|mults={"chip":2.5,"phone":2,"copper":1.9,"gold":0.9}
B1-2|手机换机潮来袭。|mults={"chip":1.6,"phone":2,"copper":1.5,"gold":0.9}
C1-2-1|换机潮超预期，手机暴涨。|super=true|mults={"chip":2,"phone":4,"copper":1.8,"gold":0.8}
C1-2-2|热度降温，价格回落。|super=false|mults={"chip":1.2,"phone":1.3,"copper":1.2,"gold":1}
C1-2-3|持续热销，高位震荡。|super=false|mults={"chip":1.7,"phone":2.2,"copper":1.5,"gold":0.9}
B1-3|铜矿供应紧张。|mults={"chip":1.5,"phone":1.4,"copper":1.8,"gold":1}
C1-3-1|铜价暴涨，科技成本承压。|super=true|mults={"chip":1.8,"phone":1.5,"copper":3.5,"gold":1.1}
C1-3-2|新矿投产，铜价回落。|super=false|mults={"chip":1.3,"phone":1.3,"copper":1.4,"gold":1}
C1-3-3|铜价高位，科技分化。|super=false|mults={"chip":1.6,"phone":1.4,"copper":2.2,"gold":1}
A2|资本过热，科技泡沫初现。|mults={"chip":1.4,"phone":1.3,"copper":1.2,"gold":1.5}
B2-1|投机资金疯狂涌入。|mults={"chip":1.8,"phone":1.6,"copper":1.4,"gold":1.8}
C2-1-1|泡沫破裂，科技崩盘。|super=true|mults={"chip":0.3,"phone":0.3,"copper":0.6,"gold":2.5}
C2-1-2|监管介入，市场降温。|super=false|mults={"chip":1,"phone":1,"copper":1.1,"gold":1.3}
C2-1-3|泡沫持续，高位狂欢。|super=false|mults={"chip":2,"phone":1.8,"copper":1.5,"gold":2}
B2-2|黄金避险需求上升。|mults={"chip":1.2,"phone":1.1,"copper":1.1,"gold":2}
C2-2-1|避险狂潮，黄金暴涨。|super=true|mults={"chip":1,"phone":1,"copper":1.2,"gold":4}
C2-2-2|风险偏好回升，黄金回落。|super=false|mults={"chip":1.4,"phone":1.3,"copper":1.3,"gold":1.3}
C2-2-3|避险与科技拉锯。|super=false|mults={"chip":1.3,"phone":1.2,"copper":1.2,"gold":1.8}
B2-3|咖啡消费意外走强。|mults={"chip":1.3,"phone":1.2,"copper":1.1,"gold":1.4}
C2-3-1|咖啡热潮，价格暴涨。|super=true|mults={"chip":1.5,"phone":1.4,"copper":1.3,"gold":1.5}
C2-3-2|热度消退，咖啡回落。|super=false|mults={"chip":1.2,"phone":1.2,"copper":1.1,"gold":1.3}
C2-3-3|消费稳健，咖啡走高。|super=false|mults={"chip":1.3,"phone":1.3,"copper":1.2,"gold":1.4}
A3|监管降温，科技板块承压。|mults={"chip":0.8,"phone":0.85,"copper":0.9,"gold":1.2}
B3-1|反垄断调查启动。|mults={"chip":0.6,"phone":0.65,"copper":0.8,"gold":1.4}
C3-1-1|巨额罚款，科技重挫。|super=true|mults={"chip":0.3,"phone":0.3,"copper":0.6,"gold":2}
C3-1-2|调查无果，市场回暖。|super=false|mults={"chip":1.2,"phone":1.2,"copper":1.1,"gold":1.1}
C3-1-3|监管长期化，科技低迷。|super=false|mults={"chip":0.7,"phone":0.75,"copper":0.9,"gold":1.5}
B3-2|补贴退坡，成本上升。|mults={"chip":0.7,"phone":0.7,"copper":0.9,"gold":1.3}
C3-2-1|成本压力爆发，科技大跌。|super=false|mults={"chip":0.4,"phone":0.4,"copper":0.7,"gold":1.8}
C3-2-2|企业消化成本，价格企稳。|super=false|mults={"chip":1,"phone":1,"copper":1,"gold":1.2}
C3-2-3|部分企业转型，铜受益。|super=false|mults={"chip":0.9,"phone":0.9,"copper":1.5,"gold":1.3}
B3-3|消费者信心下滑。|mults={"chip":0.8,"phone":0.8,"copper":0.9,"gold":1.4}
C3-3-1|消费寒冬，科技与咖啡齐跌。|super=true|mults={"chip":0.5,"phone":0.5,"copper":0.7,"gold":1.6}
C3-3-2|刺激政策出台，市场回暖。|super=false|mults={"chip":1.2,"phone":1.2,"copper":1.1,"gold":1.1}
C3-3-3|缓慢复苏，分化明显。|super=false|mults={"chip":1,"phone":1,"copper":1,"gold":1.3}
EVENT|金融风暴|unlock=0|goods=gold,copper,oil,wheat
A1|恐慌情绪蔓延，资金涌入黄金。|mults={"gold":1.6,"copper":0.7,"oil":0.8,"wheat":1.2}
B1-1|股市崩盘，避险情绪极端。|mults={"gold":2,"copper":0.5,"oil":0.6,"wheat":1.4}
C1-1-1|金融海啸，黄金暴涨，商品崩盘。|super=true|mults={"gold":4.5,"copper":0.3,"oil":0.3,"wheat":1.8}
C1-1-2|央行紧急救市，市场企稳。|super=false|mults={"gold":1.5,"copper":0.9,"oil":0.9,"wheat":1.2}
C1-1-3|恐慌持续，黄金高位。|super=false|mults={"gold":2.2,"copper":0.6,"oil":0.7,"wheat":1.4}
B1-2|大宗商品遭抛售。|mults={"gold":1.7,"copper":0.4,"oil":0.5,"wheat":1.3}
C1-2-1|商品崩盘，黄金独涨。|super=true|mults={"gold":3.5,"copper":0.2,"oil":0.2,"wheat":1.5}
C1-2-2|超跌反弹，商品修复。|super=false|mults={"gold":1.4,"copper":1,"oil":1,"wheat":1.1}
C1-2-3|抛售持续，分化加剧。|super=false|mults={"gold":2,"copper":0.5,"oil":0.6,"wheat":1.3}
B1-3|农产品成避风港。|mults={"gold":1.5,"copper":0.7,"oil":0.8,"wheat":1.6}
C1-3-1|粮食危机担忧，农产品暴涨。|super=true|mults={"gold":1.8,"copper":0.6,"oil":0.7,"wheat":3.5}
C1-3-2|情绪缓和，农产品回落。|super=false|mults={"gold":1.3,"copper":0.9,"oil":0.9,"wheat":1.2}
C1-3-3|避险持续，农产品走强。|super=false|mults={"gold":1.6,"copper":0.7,"oil":0.8,"wheat":2}
A2|央行救市，市场暂时企稳。|mults={"gold":1.2,"copper":1.1,"oil":1,"wheat":1}
B2-1|降息预期升温。|mults={"gold":1.5,"copper":1.2,"oil":1.1,"wheat":1}
C2-1-1|流动性泛滥，黄金铜齐涨。|super=true|mults={"gold":2.5,"copper":2,"oil":1.3,"wheat":1.1}
C2-1-2|预期落空，市场回落。|super=false|mults={"gold":1,"copper":0.9,"oil":0.9,"wheat":1}
C2-1-3|宽松持续，商品温和上涨。|super=false|mults={"gold":1.6,"copper":1.4,"oil":1.2,"wheat":1.1}
B2-2|财政刺激出台。|mults={"gold":1.1,"copper":1.3,"oil":1.2,"wheat":1.1}
C2-2-1|基建拉动，铜油大涨。|super=true|mults={"gold":1.2,"copper":2.8,"oil":2.2,"wheat":1.2}
C2-2-2|刺激不及预期，商品回落。|super=false|mults={"gold":1,"copper":1,"oil":1,"wheat":1}
C2-2-3|经济复苏，商品普涨。|super=false|mults={"gold":1.3,"copper":1.8,"oil":1.5,"wheat":1.2}
B2-3|银行危机隐现。|mults={"gold":1.6,"copper":0.8,"oil":0.8,"wheat":1.1}
C2-3-1|银行倒闭潮，黄金暴涨。|super=true|mults={"gold":3.5,"copper":0.4,"oil":0.5,"wheat":1.4}
C2-3-2|政府担保，危机缓解。|super=false|mults={"gold":1.2,"copper":1,"oil":1,"wheat":1}
C2-3-3|危机反复，黄金走强。|super=false|mults={"gold":2,"copper":0.7,"oil":0.8,"wheat":1.2}
A3|信用危机爆发，市场剧烈分化。|mults={"gold":1.8,"copper":0.6,"oil":0.7,"wheat":1.3}
B3-1|债务违约潮。|mults={"gold":2.2,"copper":0.4,"oil":0.5,"wheat":1.5}
C3-1-1|全面违约，黄金暴涨，商品崩盘。|super=true|mults={"gold":5,"copper":0.2,"oil":0.2,"wheat":1.8}
C3-1-2|国际援助，市场恢复。|super=false|mults={"gold":1.4,"copper":0.9,"oil":0.9,"wheat":1.2}
C3-1-3|违约持续，黄金高位。|super=false|mults={"gold":2.5,"copper":0.5,"oil":0.6,"wheat":1.5}
B3-2|货币贬值担忧。|mults={"gold":2,"copper":0.7,"oil":0.8,"wheat":1.4}
C3-2-1|恶性通胀，黄金与粮食暴涨。|super=true|mults={"gold":4,"copper":0.8,"oil":1.2,"wheat":3}
C3-2-2|汇率稳定，市场回稳。|super=false|mults={"gold":1.3,"copper":1,"oil":1,"wheat":1.1}
C3-2-3|贬值持续，黄金走强。|super=false|mults={"gold":2.4,"copper":0.7,"oil":0.9,"wheat":1.6}
B3-3|新兴市场遭重创。|mults={"gold":1.7,"copper":0.5,"oil":0.6,"wheat":1.3}
C3-3-1|新兴市场崩盘，黄金独涨。|super=true|mults={"gold":3.8,"copper":0.3,"oil":0.4,"wheat":1.6}
C3-3-2|救助计划出台，市场反弹。|super=false|mults={"gold":1.3,"copper":0.9,"oil":0.9,"wheat":1.1}
C3-3-3|危机蔓延，分化加剧。|super=false|mults={"gold":2.2,"copper":0.5,"oil":0.6,"wheat":1.4}
EVENT|供应链断裂|unlock=0|goods=chip,phone,wood,oil
A1|港口停摆，物流全面受阻。|mults={"chip":1.5,"phone":1.4,"wood":1.3,"oil":1.4}
B1-1|主要港口持续关闭。|mults={"chip":1.8,"phone":1.7,"wood":1.6,"oil":1.7}
C1-1-1|供应链崩溃，商品暴涨。|super=true|mults={"chip":3.5,"phone":3,"wood":3,"oil":3}
C1-1-2|部分港口恢复，价格回落。|super=false|mults={"chip":1.2,"phone":1.2,"wood":1.2,"oil":1.2}
C1-1-3|停摆持续，高位运行。|super=false|mults={"chip":2,"phone":1.9,"wood":1.8,"oil":1.8}
B1-2|卡车司机罢工。|mults={"chip":1.4,"phone":1.3,"wood":1.5,"oil":1.5}
C1-2-1|罢工蔓延，运输瘫痪。|super=true|mults={"chip":2.2,"phone":2,"wood":2.8,"oil":2.5}
C1-2-2|工资协议达成，运输恢复。|super=false|mults={"chip":1,"phone":1,"wood":1,"oil":1}
C1-2-3|谈判僵持，价格走高。|super=false|mults={"chip":1.6,"phone":1.5,"wood":1.8,"oil":1.7}
B1-3|集装箱严重短缺。|mults={"chip":1.6,"phone":1.5,"wood":1.4,"oil":1.4}
C1-3-1|一箱难求，运费暴涨。|super=true|mults={"chip":2.5,"phone":2.2,"wood":2,"oil":1.8}
C1-3-2|新箱投放，压力缓解。|super=false|mults={"chip":1.1,"phone":1.1,"wood":1.1,"oil":1.1}
C1-3-3|短缺持续，高位震荡。|super=false|mults={"chip":1.8,"phone":1.6,"wood":1.5,"oil":1.5}
A2|物流逐步恢复，价格开始回落。|mults={"chip":0.9,"phone":0.95,"wood":0.9,"oil":0.9}
B2-1|港口复工顺利。|mults={"chip":0.8,"phone":0.85,"wood":0.8,"oil":0.8}
C2-1-1|供应恢复，商品大跌。|super=true|mults={"chip":0.5,"phone":0.5,"wood":0.5,"oil":0.5}
C2-1-2|恢复缓慢，价格企稳。|super=false|mults={"chip":0.9,"phone":0.95,"wood":0.9,"oil":0.9}
C2-1-3|需求强劲，价格反弹。|super=false|mults={"chip":1.3,"phone":1.2,"wood":1.1,"oil":1.1}
B2-2|运费回落。|mults={"chip":0.85,"phone":0.9,"wood":0.85,"oil":0.85}
C2-2-1|运费崩盘，商品成本大降。|super=true|mults={"chip":0.6,"phone":0.6,"wood":0.6,"oil":0.6}
C2-2-2|运费企稳，市场平稳。|super=false|mults={"chip":1,"phone":1,"wood":1,"oil":1}
C2-2-3|需求回升，商品走强。|super=false|mults={"chip":1.2,"phone":1.2,"wood":1.1,"oil":1.1}
B2-3|新航线开通。|mults={"chip":0.9,"phone":0.95,"wood":0.9,"oil":0.9}
C2-3-1|运力大增，商品回落。|super=false|mults={"chip":0.7,"phone":0.75,"wood":0.7,"oil":0.7}
C2-3-2|新航线遇阻，价格反弹。|super=false|mults={"chip":1.3,"phone":1.2,"wood":1.2,"oil":1.2}
C2-3-3|平稳运行，小幅波动。|super=false|mults={"chip":1,"phone":1,"wood":1,"oil":1}
A3|运费暴涨，成本推动价格上行。|mults={"chip":1.3,"phone":1.2,"wood":1.5,"oil":1.6}
B3-1|燃油价格大涨。|mults={"chip":1.4,"phone":1.3,"wood":1.6,"oil":2}
C3-1-1|能源与运输双重危机。|super=true|mults={"chip":2.2,"phone":2,"wood":2.8,"oil":4}
C3-1-2|油价回落，运输成本下降。|super=false|mults={"chip":1,"phone":1,"wood":1.2,"oil":1.1}
C3-1-3|成本高位，商品分化。|super=false|mults={"chip":1.5,"phone":1.4,"wood":1.8,"oil":2.2}
B3-2|港口拥堵加剧。|mults={"chip":1.5,"phone":1.4,"wood":1.7,"oil":1.5}
C3-2-1|拥堵失控，商品暴涨。|super=true|mults={"chip":2.8,"phone":2.5,"wood":3,"oil":2.5}
C3-2-2|拥堵缓解，价格回落。|super=false|mults={"chip":1,"phone":1,"wood":1.2,"oil":1.1}
C3-2-3|持续拥堵，高位运行。|super=false|mults={"chip":1.8,"phone":1.6,"wood":2,"oil":1.7}
B3-3|空运替代增加。|mults={"chip":1.3,"phone":1.3,"wood":1.4,"oil":1.4}
C3-3-1|空运成本高企，商品继续涨。|super=false|mults={"chip":2,"phone":1.9,"wood":2,"oil":1.8}
C3-3-2|海运恢复，空运退潮。|super=false|mults={"chip":1,"phone":1,"wood":1.1,"oil":1.1}
C3-3-3|混合运输，价格温和。|super=false|mults={"chip":1.4,"phone":1.3,"wood":1.5,"oil":1.4}
EVENT|稀世收藏热潮|unlock=10000000|goods=antique,diamond,gold,phone
A1|顶级拍卖行成交价屡创新高，收藏品热度升温。|mults={"antique":1.5,"diamond":1.4,"gold":1.2,"phone":0.8}
B1-1|亚洲买家疯狂扫货，古董钻石暴涨。|mults={"antique":2.5,"diamond":2.2,"gold":1.4,"phone":0.6}
C1-1-1|收藏品超级牛市，古董钻石史诗级暴涨。|super=true|mults={"antique":8,"diamond":7,"gold":2,"phone":0.4}
C1-1-2|热度回落，收藏品高位震荡。|super=false|mults={"antique":1.8,"diamond":1.7,"gold":1.2,"phone":0.9}
C1-1-3|泡沫破裂，古董钻石崩盘。|super=true|mults={"antique":0.3,"diamond":0.35,"gold":1.1,"phone":1.2}
B1-2|市场传言有假货，收藏品遭抛售。|mults={"antique":0.7,"diamond":0.75,"gold":1.1,"phone":1.1}
C1-2-1|假货风波持续，古董钻石大跌。|super=false|mults={"antique":0.3,"diamond":0.35,"gold":1.2,"phone":1.2}
C1-2-2|鉴定澄清，价格修复。|super=false|mults={"antique":1.2,"diamond":1.2,"gold":1.1,"phone":1}
C1-2-3|恐慌蔓延，收藏品长期低迷。|super=false|mults={"antique":0.4,"diamond":0.45,"gold":1.3,"phone":1.1}
B1-3|高净值人群资产配置转向收藏品。|mults={"antique":2,"diamond":1.8,"gold":1.3,"phone":0.7}
C1-3-1|配置需求爆发，古董钻石大涨。|super=true|mults={"antique":5,"diamond":4.5,"gold":1.8,"phone":0.6}
C1-3-2|配置趋缓，价格平稳。|super=false|mults={"antique":1.4,"diamond":1.4,"gold":1.2,"phone":0.9}
C1-3-3|资金撤离，收藏品回落。|super=false|mults={"antique":0.6,"diamond":0.65,"gold":1,"phone":1.1}
A2|拍卖行供应增加，市场开始降温。|mults={"antique":0.8,"diamond":0.85,"gold":1,"phone":1.1}
B2-1|大量藏品涌入市场。|mults={"antique":0.6,"diamond":0.65,"gold":0.9,"phone":1.2}
C2-1-1|供过于求，古董钻石大跌。|super=true|mults={"antique":0.3,"diamond":0.35,"gold":0.8,"phone":1.3}
C2-1-2|部分精品仍受追捧。|super=false|mults={"antique":1.1,"diamond":1,"gold":1,"phone":1.1}
C2-1-3|市场长期低迷，收藏品阴跌。|super=false|mults={"antique":0.4,"diamond":0.45,"gold":0.9,"phone":1.2}
B2-2|经济下行，奢侈品消费萎缩。|mults={"antique":0.5,"diamond":0.55,"gold":1.2,"phone":0.8}
C2-2-1|消费寒冬，古董钻石崩盘。|super=true|mults={"antique":0.2,"diamond":0.25,"gold":1.5,"phone":0.6}
C2-2-2|刺激政策出台，消费回暖。|super=false|mults={"antique":1,"diamond":1,"gold":1.1,"phone":1.1}
C2-2-3|缓慢恢复，收藏品仍弱。|super=false|mults={"antique":0.6,"diamond":0.65,"gold":1.2,"phone":0.9}
B2-3|投机资金退潮。|mults={"antique":0.7,"diamond":0.75,"gold":1.1,"phone":1}
C2-3-1|资金撤离，收藏品大跌。|super=false|mults={"antique":0.35,"diamond":0.4,"gold":1.2,"phone":1}
C2-3-2|长线资金接盘，价格企稳。|super=false|mults={"antique":1.2,"diamond":1.2,"gold":1.1,"phone":1}
C2-3-3|市场冷清，阴跌不止。|super=false|mults={"antique":0.5,"diamond":0.55,"gold":1.1,"phone":1}
A3|监管关注收藏品市场，政策风险上升。|mults={"antique":0.9,"diamond":0.9,"gold":1.3,"phone":1}
B3-1|拟征收收藏品交易税。|mults={"antique":0.6,"diamond":0.65,"gold":1.4,"phone":1}
C3-1-1|重税落地，古董钻石崩盘。|super=true|mults={"antique":0.2,"diamond":0.25,"gold":1.6,"phone":1}
C3-1-2|税率低于预期，市场回暖。|super=false|mults={"antique":1.3,"diamond":1.3,"gold":1.2,"phone":1}
